Country,Category,ForeignInvestment,Date,FinancialYear
Japan,Manufacturing,9.9,2008,2007-2008
Russia,Manufacturing,5,2008,2007-2008
Australia,Manufacturing,6,2008,2007-2008
Switzerland,Manufacturing,5,2008,2007-2008
Turkey,Manufacturing,48,2008,2007-2008
India,Manufacturing,100,2008,2007-2008
Russia,Manufacturing,8,2008,2007-2008
India,Manufacturing,700,2008,2007-2008
S. Korea,Manufacturing,40,2008,2007-2008
India,Mines and Minerals,9,2008,2007-2008
Germany,Mines and Minerals,1587,2008,2007-2008
Switzerland,Service,3,2008,2007-2008
Germany,Service,2.8,2008,2007-2008
China,Service,1.5,2008,2007-2008
UAE,Service,3,2008,2007-2008
India,Service,1.5,2008,2007-2008
S. Korea,Service,3.5,2008,2007-2008
Italy,Service,10,2008,2007-2008
Netherlands,Service,2.5,2008,2007-2008
Canada,Service,6,2008,2007-2008
Sweden,Service,7.5,2008,2007-2008
Norway,Service,15,2008,2007-2008
India,Service,3.66,2008,2007-2008
USA,Service,4.5,2008,2007-2008
Japan,Service,12,2008,2007-2008
India,Service,8,2008,2007-2008
Belgium,Service,2.5,2008,2007-2008
S. Korea,Service,823.2,2008,2007-2008
China,Service,9,2008,2007-2008
Australia,Service,2.5,2008,2007-2008
S. Korea,Service,4.8,2008,2007-2008
Netherlands,Service,3.4,2008,2007-2008
India,Service,3.67,2008,2007-2008
USA,Service,20,2008,2007-2008
S. Africa,Service,2.5,2008,2007-2008
Malaysia,Service,4.2,2008,2007-2008
India,Service,2.5,2008,2007-2008
India,Service,10,2008,2007-2008
China,Service,2.5,2008,2007-2008
S. Korea,Service,3,2008,2007-2008
Netherlands,Service,2.5,2008,2007-2008
India,Service,2,2008,2007-2008
China,Service,1841.3,2008,2007-2008
Spain,Service,10,2008,2007-2008
Japan,Service,6,2008,2007-2008
China,Service,7,2008,2007-2008
S. Korea,Service,10,2008,2007-2008
India,Service,10,2008,2007-2008
India,Tourism,6,2008,2007-2008
USA,Tourism,5,2008,2007-2008
UK,Tourism,2.5,2008,2007-2008
China,Tourism,2.4,2008,2007-2008
India,Tourism,5,2008,2007-2008
S. Korea,Tourism,5,2008,2007-2008
India,Tourism,15,2008,2007-2008
Australia,Tourism,5,2008,2007-2008
UK,Tourism,10,2008,2007-2008
Germany,Tourism,20,2008,2007-2008
S. Korea,Tourism,1.8,2008,2007-2008
Japan,Tourism,50,2008,2007-2008
Spain,Tourism,5,2008,2007-2008
Kyrgystan,Tourism,6,2008,2007-2008
UK,Tourism,2.18,2008,2007-2008
China,Tourism,6,2008,2007-2008
China,Tourism,3,2008,2007-2008
India,Tourism,7.8,2008,2007-2008
China,Tourism,2.5,2008,2007-2008
India,Tourism,219.2,2008,2007-2008
S. Korea,Tourism,2.5,2008,2007-2008
Pakistan,Tourism,5,2008,2007-2008
Israel,Tourism,20.64,2008,2007-2008
Malaysia,Tourism,20,2008,2007-2008
India,Tourism,5,2008,2007-2008
Denmark,Tourism,2.5,2008,2007-2008
Germany,Tourism,10,2008,2007-2008
China,Tourism,5,2008,2007-2008
UK,Tourism,5,2008,2007-2008
UK,Tourism,4.8,2008,2007-2008
India,Tourism,2,2008,2007-2008
China,Tourism,10,2008,2007-2008
China,Tourism,2.11,2008,2007-2008
S. Korea,Tourism,2.5,2008,2007-2008
India,Tourism,9,2008,2007-2008
India,Tourism,9.8,2008,2007-2008
S. Korea,Tourism,10,2008,2007-2008
USA,Tourism,5,2008,2007-2008
France,Tourism,3,2008,2007-2008
USA,Tourism,9,2008,2007-2008
China,Tourism,10,2008,2007-2008
Singapore,Agriculture and Forestry,30,2009,2008-2009
India,Agriculture and Forestry,560,2009,2008-2009
India,Agriculture and Forestry,6.7,2009,2008-2009
India,Construction,88.57,2009,2008-2009
India,Energy,20,2009,2008-2009
China,Energy,119.76,2009,2008-2009
China,Energy,8,2009,2008-2009
India,Energy,500,2009,2008-2009
Singapore,Energy,530,2009,2008-2009
India,Energy,3,2009,2008-2009
India,Energy,1500,2009,2008-2009
Canada,Energy,200,2009,2008-2009
Switzerland,Manufacturing,8,2009,2008-2009
China,Manufacturing,4,2009,2008-2009
India,Manufacturing,8,2009,2008-2009
India,Manufacturing,499.9,2009,2008-2009
China,Manufacturing,10,2009,2008-2009
Australia,Manufacturing,8,2009,2008-2009
China,Manufacturing,20,2009,2008-2009
Bangladesh,Manufacturing,6,2009,2008-2009
Denmark,Manufacturing,49.8,2009,2008-2009
India,Manufacturing,10,2009,2008-2009
Bangladesh,Manufacturing,15,2009,2008-2009
Switzerland,Manufacturing,158,2009,2008-2009
China,Manufacturing,10,2009,2008-2009
Israel,Manufacturing,9,2009,2008-2009
China,Manufacturing,2.5,2009,2008-2009
China,Manufacturing,10,2009,2008-2009
India,Manufacturing,35.7,2009,2008-2009
India,Manufacturing,1.5,2009,2008-2009
Brazil,Manufacturing,500,2009,2008-2009
UK,Manufacturing,100,2009,2008-2009
China,Manufacturing,8,2009,2008-2009
Japan,Manufacturing,15.6,2009,2008-2009
Singapore,Manufacturing,2.9,2009,2008-2009
USA,Manufacturing,8,2009,2008-2009
China,Manufacturing,20,2009,2008-2009
India,Manufacturing,78,2009,2008-2009
China,Manufacturing,20,2009,2008-2009
China,Manufacturing,5.7,2009,2008-2009
China,Manufacturing,10,2009,2008-2009
China,Manufacturing,20,2009,2008-2009
China,Mines and Minerals,10,2009,2008-2009
China,Mines and Minerals,50,2009,2008-2009
China,Mines and Minerals,10,2009,2008-2009
China,Mines and Minerals,20,2009,2008-2009
China,Mines and Minerals,200,2009,2008-2009
China,Mines and Minerals,10,2009,2008-2009
Singapore,Mines and Minerals,1.6,2009,2008-2009
Cyprus,Mines and Minerals,1000,2009,2008-2009
China,Mines and Minerals,10,2009,2008-2009
China,Mines and Minerals,10,2009,2008-2009
China,Mines and Minerals,10,2009,2008-2009
China,Mines and Minerals,10,2009,2008-2009
China,Mines and Minerals,10,2009,2008-2009
China,Mines and Minerals,10,2009,2008-2009
China,Mines and Minerals,10,2009,2008-2009
China,Mines and Minerals,49,2009,2008-2009
Philippines,Mines and Minerals,3.43,2009,2008-2009
India,Service,162.43,2009,2008-2009
Japan,Service,1.5,2009,2008-2009
India,Service,10,2009,2008-2009
India,Service,50,2009,2008-2009
Denmark,Service,2.5,2009,2008-2009
Belgium,Service,2.5,2009,2008-2009
Japan,Service,10,2009,2008-2009
Bangladesh,Service,5,2009,2008-2009
UK,Service,2,2009,2008-2009
China,Service,3,2009,2008-2009
S. Korea,Service,10,2009,2008-2009
China,Service,9,2009,2008-2009
France,Service,2,2009,2008-2009
China,Service,6,2009,2008-2009
China,Service,4.8,2009,2008-2009
India,Service,200,2009,2008-2009
USA,Service,10,2009,2008-2009
Japan,Service,5.27,2009,2008-2009
S. Korea,Service,50,2009,2008-2009
Spain,Service,5,2009,2008-2009
China,Service,10,2009,2008-2009
China,Service,10,2009,2008-2009
India,Service,49.8,2009,2008-2009
Sweden,Service,2.5,2009,2008-2009
USA,Service,10,2009,2008-2009
India,Service,15,2009,2008-2009
Philippines,Service,2,2009,2008-2009
China,Service,2.5,2009,2008-2009
UK,Service,10,2009,2008-2009
UK,Service,45,2009,2008-2009
India,Service,2.5,2009,2008-2009
China,Service,10,2009,2008-2009
India,Service,10,2009,2008-2009
India,Service,3.2,2009,2008-2009
India,Service,2.5,2009,2008-2009
S. Korea,Service,4,2009,2008-2009
Netherlands,Service,30,2009,2008-2009
China,Service,10,2009,2008-2009
Thailand,Service,3.25,2009,2008-2009
Pakistan,Service,2.4,2009,2008-2009
USA,Service,2.5,2009,2008-2009
S. Korea,Service,8,2009,2008-2009
Japan,Service,3.2,2009,2008-2009
Russia,Tourism,3.8,2009,2008-2009
India,Tourism,10,2009,2008-2009
China,Tourism,15,2009,2008-2009
China,Tourism,6,2009,2008-2009
France,Tourism,5,2009,2008-2009
India,Tourism,49.5,2009,2008-2009
UK,Tourism,6,2009,2008-2009
India,Tourism,5,2009,2008-2009
Japan,Tourism,4.21,2009,2008-2009
Netherlands,Tourism,3,2009,2008-2009
China,Tourism,6,2009,2008-2009
France,Tourism,5.5,2009,2008-2009
Bangladesh,Tourism,2.5,2009,2008-2009
S. Korea,Tourism,20,2009,2008-2009
Iran,Tourism,2.5,2009,2008-2009
UK,Tourism,10,2009,2008-2009
USA,Tourism,2.5,2009,2008-2009
China,Tourism,6,2009,2008-2009
USA,Tourism,2.5,2009,2008-2009
UK,Tourism,5,2009,2008-2009
UK,Tourism,2,2009,2008-2009
Canada,Tourism,1.73,2009,2008-2009
China,Tourism,6,2009,2008-2009
China,Tourism,40,2009,2008-2009
Germany,Tourism,50,2009,2008-2009
China,Tourism,10,2009,2008-2009
USA,Tourism,10,2009,2008-2009
China,Tourism,2.5,2009,2008-2009
S. Africa,Tourism,10,2009,2008-2009
Mexico,Tourism,10,2009,2008-2009
China,Tourism,8,2009,2008-2009
France,Tourism,2.5,2009,2008-2009
China,Tourism,4.8,2009,2008-2009
Germany,Tourism,5,2009,2008-2009
Spain,Tourism,5,2009,2008-2009
India,Tourism,3,2009,2008-2009
India,Tourism,2.94,2009,2008-2009
China,Tourism,6.4,2009,2008-2009
Denmark,Tourism,10,2009,2008-2009
China,Tourism,10,2009,2008-2009
Australia,Tourism,5,2009,2008-2009
Croatia,Tourism,2.5,2009,2008-2009
UK,Tourism,5,2009,2008-2009
China,Tourism,10,2009,2008-2009
USA,Tourism,5,2009,2008-2009
UK,Tourism,10,2009,2008-2009
Germany,Tourism,50,2009,2008-2009
China,Tourism,4.8,2009,2008-2009
USA,Agriculture and Forestry,25,2010,2009-2010
Singapore,Agriculture and Forestry,75,2010,2009-2010
China,Construction,200,2010,2009-2010
Canada,Energy,39950.5,2010,2009-2010
India,Energy,1700,2010,2009-2010
India,Energy,19960,2010,2009-2010
India,Energy,19000,2010,2009-2010
India,Energy,19000,2010,2009-2010
Australia,Manufacturing,80,2010,2009-2010
Australia,Manufacturing,40,2010,2009-2010
China,Manufacturing,54,2010,2009-2010
China,Manufacturing,80,2010,2009-2010
China,Manufacturing,90,2010,2009-2010
China,Manufacturing,80,2010,2009-2010
China,Manufacturing,80,2010,2009-2010
China,Manufacturing,90,2010,2009-2010
China,Manufacturing,96,2010,2009-2010
China,Manufacturing,200,2010,2009-2010
China,Manufacturing,95,2010,2009-2010
China,Manufacturing,230,2010,2009-2010
China,Manufacturing,96,2010,2009-2010
China,Manufacturing,25,2010,2009-2010
Denmark,Manufacturing,100,2010,2009-2010
Egypt,Manufacturing,100,2010,2009-2010
India,Manufacturing,11000,2010,2009-2010
India,Manufacturing,94,2010,2009-2010
India,Manufacturing,50,2010,2009-2010
India,Manufacturing,458,2010,2009-2010
India,Manufacturing,200,2010,2009-2010
India,Manufacturing,50,2010,2009-2010
India,Manufacturing,500,2010,2009-2010
India,Manufacturing,470,2010,2009-2010
India,Manufacturing,1500,2010,2009-2010
India,Manufacturing,100,2010,2009-2010
Japan,Manufacturing,47,2010,2009-2010
Japan,Manufacturing,150,2010,2009-2010
Japan,Manufacturing,25,2010,2009-2010
Mauritius,Manufacturing,10300,2010,2009-2010
Mauritius,Manufacturing,10500,2010,2009-2010
Russia,Manufacturing,75,2010,2009-2010
S. Korea,Manufacturing,100,2010,2009-2010
S. Korea,Manufacturing,100,2010,2009-2010
UK,Manufacturing,60,2010,2009-2010
USA,Manufacturing,100,2010,2009-2010
Uzbekistan,Manufacturing,100,2010,2009-2010
China,Mines and Minerals,300,2010,2009-2010
China,Mines and Minerals,200,2010,2009-2010
China,Mines and Minerals,300,2010,2009-2010
China,Mines and Minerals,200,2010,2009-2010
Australia,Service,60,2010,2009-2010
Australia,Service,25,2010,2009-2010
Bangladesh,Service,50,2010,2009-2010
Canada,Service,34,2010,2009-2010
China,Service,500,2010,2009-2010
China,Service,90,2010,2009-2010
China,Service,90,2010,2009-2010
China,Service,80,2010,2009-2010
China,Service,80,2010,2009-2010
China,Service,80,2010,2009-2010
China,Service,80,2010,2009-2010
China,Service,80,2010,2009-2010
China,Service,100,2010,2009-2010
China,Service,80,2010,2009-2010
China,Service,90,2010,2009-2010
China,Service,480,2010,2009-2010
China,Service,75,2010,2009-2010
China,Service,80,2010,2009-2010
China,Service,26.5,2010,2009-2010
China,Service,500,2010,2009-2010
China,Service,80,2010,2009-2010
China,Service,100,2010,2009-2010
China,Service,490,2010,2009-2010
China,Service,100,2010,2009-2010
China,Service,100,2010,2009-2010
China,Service,80,2010,2009-2010
China,Service,100,2010,2009-2010
China,Service,25,2010,2009-2010
China,Service,85,2010,2009-2010
Congo,Service,25,2010,2009-2010
Denmark,Service,25,2010,2009-2010
Germany,Service,25,2010,2009-2010
India,Service,200,2010,2009-2010
India,Service,389.06,2010,2009-2010
India,Service,100,2010,2009-2010
India,Service,500,2010,2009-2010
India,Service,24,2010,2009-2010
India,Service,450,2010,2009-2010
India,Service,100,2010,2009-2010
India,Service,500,2010,2009-2010
India,Service,20,2010,2009-2010
India,Service,886.97,2010,2009-2010
India,Service,100,2010,2009-2010
India,Service,160,2010,2009-2010
Israel,Service,148,2010,2009-2010
Japan,Service,25,2010,2009-2010
Kazakhstan,Service,100,2010,2009-2010
Lebanon,Service,20,2010,2009-2010
Netherlands,Service,25,2010,2009-2010
NewZealand,Service,100,2010,2009-2010
S. Korea,Service,50,2010,2009-2010
S. Korea,Service,37,2010,2009-2010
S. Korea,Service,25,2010,2009-2010
S. Korea,Service,40,2010,2009-2010
S. Korea,Service,500,2010,2009-2010
S. Korea,Service,50,2010,2009-2010
S. Korea,Service,500,2010,2009-2010
S. Korea,Service,60,2010,2009-2010
S. Korea,Service,25,2010,2009-2010
S. Korea,Service,25,2010,2009-2010
Sweden,Service,100,2010,2009-2010
Turkey,Service,75,2010,2009-2010
Turkey,Service,50,2010,2009-2010
UK,Service,35,2010,2009-2010
UK,Service,100,2010,2009-2010
UK,Service,25,2010,2009-2010
USA,Service,71,2010,2009-2010
USA,Service,50,2010,2009-2010
USA,Service,25,2010,2009-2010
USA,Service,50,2010,2009-2010
USA,Service,24,2010,2009-2010
USA,Service,80,2010,2009-2010
Australia,Tourism,31.5,2010,2009-2010
Australia,Tourism,100,2010,2009-2010
Bangladesh,Tourism,50,2010,2009-2010
China,Tourism,60,2010,2009-2010
China,Tourism,100,2010,2009-2010
China,Tourism,80,2010,2009-2010
China,Tourism,80,2010,2009-2010
China,Tourism,48,2010,2009-2010
China,Tourism,80,2010,2009-2010
China,Tourism,80,2010,2009-2010
China,Tourism,60,2010,2009-2010
China,Tourism,60,2010,2009-2010
China,Tourism,80,2010,2009-2010
China,Tourism,80,2010,2009-2010
China,Tourism,85,2010,2009-2010
China,Tourism,100,2010,2009-2010
China,Tourism,70,2010,2009-2010
China,Tourism,50,2010,2009-2010
China,Tourism,100,2010,2009-2010
China,Tourism,112,2010,2009-2010
Finland,Tourism,25,2010,2009-2010
France,Tourism,100,2010,2009-2010
France,Tourism,90,2010,2009-2010
Germany,Tourism,60,2010,2009-2010
Germany,Tourism,20,2010,2009-2010
Germany,Tourism,25,2010,2009-2010
China,Tourism,2000,2010,2009-2010
Hungery,Tourism,100,2010,2009-2010
India,Tourism,383.22,2010,2009-2010
Netherlands,Tourism,50,2010,2009-2010
NewZealand,Tourism,30,2010,2009-2010
Norway,Tourism,100,2010,2009-2010
Philippines,Tourism,50,2010,2009-2010
Russia,Tourism,25,2010,2009-2010
S. Korea,Tourism,25,2010,2009-2010
S. Korea,Tourism,25,2010,2009-2010
S. Korea,Tourism,48,2010,2009-2010
S. Korea,Tourism,42,2010,2009-2010
S. Korea,Tourism,50,2010,2009-2010
S. Korea,Tourism,35,2010,2009-2010
S. Korea,Tourism,80,2010,2009-2010
S. Korea,Tourism,50,2010,2009-2010
Singapore,Tourism,100,2010,2009-2010
Spain,Tourism,100,2010,2009-2010
UAE,Tourism,5000,2010,2009-2010
UK,Tourism,25,2010,2009-2010
UK,Tourism,25,2010,2009-2010
USA,Tourism,48,2010,2009-2010
USA,Tourism,50,2010,2009-2010
Vietnam,Tourism,96,2010,2009-2010
Netherlands,Agriculture and Forestry,45.9,2011,2010-2011
Turkey,Agriculture and Forestry,10,2011,2010-2011
China,Agriculture and Forestry,10,2011,2010-2011
Australia,Agriculture and Forestry,10,2011,2010-2011
China,Agriculture and Forestry,10,2011,2010-2011
Philippines,Agriculture and Forestry,10,2011,2010-2011
Bangladesh,Agriculture and Forestry,10,2011,2010-2011
S. Korea,Agriculture and Forestry,5,2011,2010-2011
UK,Agriculture and Forestry,2.5,2011,2010-2011
Denmark,Agriculture and Forestry,110,2011,2010-2011
S. Korea,Agriculture and Forestry,10,2011,2010-2011
China,Agriculture and Forestry,2.4,2011,2010-2011
India,Agriculture and Forestry,100,2011,2010-2011
China,Agriculture and Forestry,45,2011,2010-2011
Norway,Agriculture and Forestry,6,2011,2010-2011
China,Agriculture and Forestry,5,2011,2010-2011
China,Agriculture and Forestry,20,2011,2010-2011
China,Agriculture and Forestry,8.5,2011,2010-2011
India,Agriculture and Forestry,8.3,2011,2010-2011
China,Agriculture and Forestry,4.8,2011,2010-2011
China,Agriculture and Forestry,20,2011,2010-2011
Canada,Agriculture and Forestry,10,2011,2010-2011
China,Agriculture and Forestry,10,2011,2010-2011
China,Construction,150,2011,2010-2011
India,Energy,900,2011,2010-2011
Thailand,Energy,70,2011,2010-2011
China,Energy,48,2011,2010-2011
Mauritius,Energy,200,2011,2010-2011
Mauritius,Energy,200,2011,2010-2011
India,Energy,600,2011,2010-2011
China,Manufacturing,50,2011,2010-2011
Japan,Manufacturing,2.5,2011,2010-2011
China,Manufacturing,20,2011,2010-2011
USA,Manufacturing,4,2011,2010-2011
Ecuador,Manufacturing,2.5,2011,2010-2011
China,Manufacturing,10,2011,2010-2011
UK,Manufacturing,10,2011,2010-2011
China,Manufacturing,8,2011,2010-2011
China,Manufacturing,8,2011,2010-2011
India,Manufacturing,10,2011,2010-2011
India,Manufacturing,300,2011,2010-2011
Bangladesh,Manufacturing,2.4,2011,2010-2011
China,Manufacturing,161.5,2011,2010-2011
China,Manufacturing,10,2011,2010-2011
India,Manufacturing,541.5,2011,2010-2011
India,Manufacturing,1000,2011,2010-2011
India,Manufacturing,400,2011,2010-2011
India,Manufacturing,1280,2011,2010-2011
India,Manufacturing,99,2011,2010-2011
China,Manufacturing,10,2011,2010-2011
India,Manufacturing,130,2011,2010-2011
India,Manufacturing,1800,2011,2010-2011
Japan,Manufacturing,4.8,2011,2010-2011
India,Manufacturing,8,2011,2010-2011
China,Manufacturing,5,2011,2010-2011
India,Manufacturing,1,2011,2010-2011
India,Manufacturing,8,2011,2010-2011
China,Manufacturing,20,2011,2010-2011
India,Manufacturing,20,2011,2010-2011
Japan,Manufacturing,5,2011,2010-2011
UK,Manufacturing,30,2011,2010-2011
USA,Manufacturing,4.8,2011,2010-2011
France,Manufacturing,8,2011,2010-2011
China,Manufacturing,44,2011,2010-2011
India,Manufacturing,206.5,2011,2010-2011
China,Manufacturing,10,2011,2010-2011
S. Korea,Manufacturing,2.5,2011,2010-2011
China,Manufacturing,7,2011,2010-2011
India,Manufacturing,25,2011,2010-2011
India,Mines and Minerals,30,2011,2010-2011
China,Mines and Minerals,9.6,2011,2010-2011
India,Mines and Minerals,30,2011,2010-2011
Uae,Mines and Minerals,34,2011,2010-2011
China,Mines and Minerals,10,2011,2010-2011
UK,Service,20,2011,2010-2011
Iran,Service,2.5,2011,2010-2011
China,Service,10,2011,2010-2011
China,Service,10,2011,2010-2011
India,Service,2.5,2011,2010-2011
Germany,Service,2.5,2011,2010-2011
China,Service,8,2011,2010-2011
China,Service,10,2011,2010-2011
S. Korea,Service,1.5,2011,2010-2011
China,Service,6,2011,2010-2011
China,Service,8,2011,2010-2011
China,Service,48,2011,2010-2011
